시간,발전량
2020-02-27 0:00,669
2020-02-27 1:00,668
2020-02-27 2:00,928
2020-02-27 3:00,863
2020-02-27 4:00,1349
2020-02-27 5:00,1689
2020-02-27 6:00,1408
2020-02-27 7:00,1473
2020-02-27 8:00,850
2020-02-27 9:00,268
2020-02-27 10:00,159
2020-02-27 11:00,230
2020-02-27 12:00,316
2020-02-27 13:00,383
2020-02-27 14:00,267
2020-02-27 15:00,285
2020-02-27 16:00,190
2020-02-27 17:00,160
2020-02-27 18:00,85
2020-02-27 19:00,35
2020-02-27 20:00,8
2020-02-27 21:00,0
2020-02-27 22:00,0
2020-02-27 23:00,37
2020-02-28 0:00,217
2020-02-28 1:00,65
2020-02-28 2:00,143
2020-02-28 3:00,226
2020-02-28 4:00,209
2020-02-28 5:00,182
2020-02-28 6:00,247
2020-02-28 7:00,349
2020-02-28 8:00,617
2020-02-28 9:00,320
2020-02-28 10:00,379
2020-02-28 11:00,284
2020-02-28 12:00,223
2020-02-28 13:00,42
2020-02-28 14:00,142
2020-02-28 15:00,10
2020-02-28 16:00,77
2020-02-28 17:00,0
2020-02-28 18:00,7
2020-02-28 19:00,41
2020-02-28 20:00,26
2020-02-28 21:00,26
2020-02-28 22:00,36
2020-02-28 23:00,216
2020-02-29 0:00,233
2020-02-29 1:00,271
2020-02-29 2:00,245
2020-02-29 3:00,196
2020-02-29 4:00,210
2020-02-29 5:00,187
2020-02-29 6:00,242
2020-02-29 7:00,271
2020-02-29 8:00,232
2020-02-29 9:00,216
2020-02-29 10:00,190
2020-02-29 11:00,135
2020-02-29 12:00,193
2020-02-29 13:00,221
2020-02-29 14:00,199
2020-02-29 15:00,78
2020-02-29 16:00,108
2020-02-29 17:00,58
2020-02-29 18:00,129
2020-02-29 19:00,112
2020-02-29 20:00,118
2020-02-29 21:00,90
2020-02-29 22:00,130
2020-02-29 23:00,117
