시간,발전량
2020-02-23 0:00,1003
2020-02-23 1:00,929
2020-02-23 2:00,1018
2020-02-23 3:00,778
2020-02-23 4:00,560
2020-02-23 5:00,961
2020-02-23 6:00,952
2020-02-23 7:00,880
2020-02-23 8:00,665
2020-02-23 9:00,539
2020-02-23 10:00,209
2020-02-23 11:00,79
2020-02-23 12:00,96
2020-02-23 13:00,343
2020-02-23 14:00,55
2020-02-23 15:00,0
2020-02-23 16:00,0
2020-02-23 17:00,44
2020-02-23 18:00,143
2020-02-23 19:00,174
2020-02-23 20:00,159
2020-02-23 21:00,34
2020-02-23 22:00,48
2020-02-23 23:00,329
2020-02-24 0:00,306
2020-02-24 1:00,145
2020-02-24 2:00,36
2020-02-24 3:00,170
2020-02-24 4:00,377
2020-02-24 5:00,357
2020-02-24 6:00,243
2020-02-24 7:00,473
2020-02-24 8:00,680
2020-02-24 9:00,434
2020-02-24 10:00,877
2020-02-24 11:00,1421
2020-02-24 12:00,1593
2020-02-24 13:00,1155
2020-02-24 14:00,1313
2020-02-24 15:00,1106
2020-02-24 16:00,732
2020-02-24 17:00,727
2020-02-24 18:00,391
2020-02-24 19:00,309
2020-02-24 20:00,1033
2020-02-24 21:00,1002
2020-02-24 22:00,757
2020-02-24 23:00,1100
2020-02-25 0:00,1518
2020-02-25 1:00,1492
2020-02-25 2:00,1790
2020-02-25 3:00,1974
2020-02-25 4:00,2000
2020-02-25 5:00,2001
2020-02-25 6:00,1921
2020-02-25 7:00,1644
2020-02-25 8:00,1687
2020-02-25 9:00,1613
2020-02-25 10:00,1740
2020-02-25 11:00,1904
2020-02-25 12:00,1731
2020-02-25 13:00,1054
2020-02-25 14:00,346
2020-02-25 15:00,12
2020-02-25 16:00,0
2020-02-25 17:00,0
2020-02-25 18:00,133
2020-02-25 19:00,90
2020-02-25 20:00,195
2020-02-25 21:00,605
2020-02-25 22:00,1138
2020-02-25 23:00,560
