,발전량,센서풍속,발전기전류A,발전기전류B,발전기전류C,기어오일온도,발전기출력,발전기속도,내부온도,냉각수온도,하이드로릭오일온도,피치압력,로터속도,권선온도A,권선온도B,권선온도C,변압기온도BUS,변압기온도A,변압기온도B,변압기온도C,발전기전압A,발전기전압B,발전기전압C,발전기운전상태
2020-02-01 0:00,2,7,111.0166667,112.8666667,115.9666667,55,133.9616648,1260.511654,5,30.63333333,25,190.0266663,10.46166663,45,45,45,33.06666667,51,55,52.28333333,397.3166667,398.0333333,396.8,Run
2020-02-01 0:01,2,6.309999943,83.76666667,85.98333333,89.16666667,55,101.5700005,1226.508329,5,31.38333333,25,192.5033325,10.12166657,44.78333333,44.43333333,44.53333333,34,51,55,52.5,396.8,398,396.3666667,Run
2020-02-01 0:02,2,7.440000057,82.03333333,83.86666667,86.83333333,55,98.80500011,1229.524986,5,32,25,193.7466657,10.17666663,44.16666667,44,44,34.13333333,51,55,52,396.5333333,397.75,396.2833333,Run
2020-02-01 0:03,2,6.75,126.6,128.4333333,131.5833333,55,152.5616652,1249.933339,5,32.96666667,25,189.1666684,10.32833335,44,44,44,35.21666667,51,55,52,396.7,398,396.3333333,Run
2020-02-01 0:04,3,7,116.1333333,117.6333333,121,55,140.158333,1213.926674,5,33.63333333,25,192.8799985,10.02999991,44,44,44,36,51,55,52,396.1333333,397.4833333,396.05,Run
2020-02-01 0:05,2,7.389999866,121.1666667,123.0666667,126.5,55,146.5133336,1253.229989,5,34.31666667,25,191.6133336,10.37666664,44,44,44,36.88333333,51,55,52,396.7666667,397.85,396.2833333,Run
2020-02-01 0:06,3,6.989999771,153.1833333,153.6166667,157.9166667,55,183.3433343,1351.416675,5,33.88333333,25,193.4816666,11.1383334,44.05,44,44,35.58333333,51,55,52,397.2,398,396.6833333,Run
2020-02-01 0:07,3,7.789999962,116.8166667,118.8,122.5,55,141.4033333,1228.881671,5,31.46666667,25,191.4116687,10.14333337,44.43333333,44,44,33.35,50.33333333,55,52,396.8833333,398,396.1666667,Run
2020-02-01 0:08,2,7.579999924,122.15,124.0333333,128.0166667,54.6,147.7833354,1231.303343,5,31,24.95,192.1033343,10.17000009,44.68333333,44,44.16666667,33.38333333,50.51666667,55,52,396.9166667,398,396.3166667,Run
2020-02-01 0:09,3,7.300000191,141.7,143.5333333,147.45,54,171.063331,1241.503324,5,31.63333333,24.96666667,191.2883354,10.2700002,44.55,44.58333333,44.38333333,34.3,50.16666667,55,52,397,398,396.9166667,Run
2020-02-01 0:10,3,7.21999979,185.5833333,186.7666667,189.95,54,223.428334,1397.823332,5,32.63333333,25,190.6933311,11.54166679,45,44.96666667,45,35.38333333,50,54.53333333,52,398.3166667,398.5166667,397.6666667,Run
2020-02-01 0:11,5,7.050000191,212.2333333,213.3166667,216.3833333,54.4,262.2116703,1456.085004,5,33.48333333,24.75,193.1449994,11.97999991,45,45,45,36.55,50,54.3,52,398.7333333,398.6666667,397.85,Run
2020-02-01 0:12,4,6.869999886,210.2,211.2833333,214.5666667,55,253.8083328,1445.916656,5,34.4,25,190.2000003,11.98333335,45.23333333,45,45,37,50,54,52,398.5,398.4166667,397.5,Run
